Country Name;Country Code;GDP PPP;Gini;Surf;toursim_export_share;visiting_tourists;outbound_tourists
Afghanistan;AFG;2079.921861;;652230;5.607752558;;
Albania;ALB;13653.22677;29.4;27400;50.97062306;6406000;5922000
Algeria;DZA;11627.27992;27.6;2381741;0.363152036;2371000;5732000
American Samoa;ASM;;;200;;19200.00076;
Andorra;AND;;;470;81.80221608;8235000;
Angola;AGO;6602.423657;51.3;1246700;1.122792484;218000;
Antigua and Barbuda;ATG;23035.65798;;440;82.96384612;1035000;
Argentina;ARG;22071.7481;42;2736690;7.07063914;7399000;15352000
Armenia;ARM;14317.55287;27.9;28470;26.80162149;1894000;1868000
Aruba;ABW;40780.51657;;180;82.32840759;1951000;
Australia;AUS;49379.09333;34.3;7692020;14.00148417;9466000;11624000
Australia;NFK;49379.09333;34.3;7692020;;;
Australia;CXR;49379.09333;34.3;7692020;;;
Australia;CCK;49379.09333;34.3;7692020;;;
Austria;AUT;55806.43825;29.8;82520;10.46427579;31884000;11902000
Azerbaijan;AZE;14442.04087;;82654;8.48126077;3170000;5568000
Bahamas, The;BHS;35161.83047;;10010;80.36659771;7250000;
Bahrain;BHR;49768.97621;;783;12.73866709;11061000;2950000
Bangladesh;BGD;5467.207948;32.4;130170;0.869641803;323000;1460000
Barbados;BRB;15954.80266;;430;44.43759267;966000;
Belarus;BLR;19279.20925;24.4;202965;3.073265213;11832000;9221000
Belgium;BEL;51977.18533;26;30280;2.396244923;9343000;14191000
Belize;BLZ;9028.551485;;22810;;1674000;
Benin;BEN;3156.438957;37.8;112760;6.718673299;337000;
Bermuda;BMU;81681.72667;;54;37.44420842;805000;
Bhutan;BTN;11797.2842;37.4;38140;15.43350566;316000;72000
Bolivia;BOL;8528.748802;40.9;1083300;9.512121591;1239000;1160000
Bosnia and Herzegovina;BIH;14632.12588;33;51200;14.94151267;1198000;
Botswana;BWA;15117.995;53.3;566730;11.43735755;1830000;
Brazil;BRA;14685.12789;52.9;8358140;2.355859588;6353000;10628000
British Virgin Islands;VGB;;;150;;302399.9939;139000
Brunei Darussalam;BRN;61424.36431;;5270;2.698503885;4449000;
Bulgaria;BGR;23266.06932;40.5;108560;10.97154234;12552000;7007000
Burkina Faso;BFA;2110.062311;47.3;273600;3.872264597;143000;
Burundi;BDI;729.6584626;38.6;25680;2.640132955;299000;28000
Cabo Verde;CPV;6835.078829;42.4;4030;56.33408311;758000;
Cambodia;KHM;4464.29445;;176520;25.20830276;6611000;2038000
Cameroon;CMR;3756.509562;46.6;472710;8.808916609;1021000;
Canada;CAN;49171.51109;32.5;8965590;3.971326117;32430000;37845898.44
Cayman Islands;CYM;72402.83665;;240;22.92499679;2334000;
Central African Republic;CAF;861.7667888;;622980;;87000;
Chad;TCD;1561.996673;37.5;1259200;;81000;52000
Channel Islands;CHI;;;;;;
Chile;CHL;24816.61108;44.9;743532;4.244399754;5431000;4091000
China;CHN;15977.76383;38.2;9424702.9;9.112847893;162538000;154632000
Colombia;COL;14616.13512;51.5;1109500;13.21798253;4531000;4479000
Comoros;COM;3290.650527;45.3;1861;51.12171288;45099.99847;
Congo, Dem. Rep.;COD;1059.892111;42.1;2267050;0.376205306;351000;424000
Congo, Rep.;COG;3695.061694;48.9;341500;0.932705842;158000;180000
Costa Rica;CRI;20818.06168;48.7;51060;18.83212929;3366000;1153000
Cote d'Ivoire;CIV;5126.634115;37.2;318000;3.991820518;2070000;
Croatia;HRV;29347.54823;29.5;55964;38.0081354;60021000;3500000
Cuba;CUB;;;103800;;4276000;650000
Curacao;CUW;23659.23473;;444;39.77549785;1293000;
Cyprus;CYP;41739.46484;31.7;9240;16.35990496;4117000;1578000
Czechia;CZE;40989.72662;26.2;77205.5;4.270823734;37202000;7346000
Denmark;DNK;56813.96416;27.5;40000;4.509159072;33093000;9088000
Djibouti;DJI;4768.113005;41.6;23180;1.249159569;63000;
Dominica;DMA;12395.42047;;750;70.90356667;322000;
Dominican Republic;DOM;18171.06096;38.5;48310;37.70752605;7550000;532000
Ecuador;ECU;11390.21697;45.8;248360;8.759592482;2108000;1515000
Egypt, Arab Rep.;EGY;11180.69706;31.9;995450;26.63547387;13026000;6180000
El Salvador;SLV;9021.426022;39;20720;20.65359268;2639000;1899000
Equatorial Guinea;GNQ;16240.36981;;28050;;;
Eritrea;ERI;;;121080.546;36.84044642;142000;
Estonia;EST;36153.43195;30.7;42750;10.06020002;6103000;1702000
Eswatini;SWZ;8501.266335;54.6;17200;0.698409803;1226000;1721000
Ethiopia;ETH;2181.658877;35;1128570.858;46.50650067;812000;
Faroe Islands;FRO;;;1396;;;
Fiji;FJI;13241.35395;30.7;18270;51.01655689;969000;174000
Finland;FIN;48583.43399;27.1;303930;5.550777361;3290000;10440000
France;FRA;45922.79474;30.7;547557;7.934388306;217877000;49276000
France;GLP;45922.79474;30.7;547557;;;
France;REU;45922.79474;30.7;547557;;;
France;MTQ;45922.79474;30.7;547557;;;
France;GUF;45922.79474;30.7;547557;;;
France;MYT;45922.79474;30.7;547557;;;
France;WLF;45922.79474;30.7;547557;;;
France;SPM;45922.79474;30.7;547557;;;
France;BLM;45922.79474;30.7;547557;;;
French Polynesia;PYF;45922.79474;30.7;3471;65.07749315;300000;63000
Gabon;GAB;14478.00172;38;257670;0.532471529;230000;168000
Gambia, The;GMB;2083.309058;38.8;10120;43.5859284;620000;
Georgia;GEO;14989.25816;34.2;69490;37.1985615;7726000;3780000
Germany;DEU;53874.31665;31.7;349390;3.21432867;39563000;99533000
Ghana;GHA;5345.941592;43.5;227540;5.822054899;897000;
Gibraltar;GIB;;;10;;;
Greece;GRC;29721.58576;33.6;128900;28.33436071;34005000;7848000
Greenland;GRL;;;410450;;;
Grenada;GRD;15393.79115;;340;88.20589753;526000;
Guam;GUM;;;540;;1667000;
Guatemala;GTM;8671.702718;48.3;107160;9.025121436;2560000;1703000
Guinea;GIN;2545.140202;29.6;245720;0.257379226;99000;
Guinea-Bissau;GNB;1890.533103;34.8;28120;6.483784401;52400.00153;
Guyana;GUY;12820.4897;;196850;11.90121988;315000;
Haiti;HTI;3101.594122;41.1;27560;34.76880384;938000;
Honduras;HND;5613.660588;48.2;111890;7.676382268;2315000;703000
Hong Kong SAR, China;HKG;59588.51861;;1050;5.069243902;55913000;94715000
Hungary;HUN;32649.14161;29.7;91260;7.645650467;61397000;24860000
Iceland;ISL;56923.17245;26.1;100830;13.31418906;2202000;611000
India;IND;6608.624078;35.7;2973190;5.798366219;17914000;26915000
Indonesia;IDN;11857.78912;37.9;1877519;9.198053424;16107000;11689000
Iran, Islamic Rep.;IRN;14084.35351;40.9;1622500;2.277390924;9107000;7243000
Iraq;IRQ;10299.31629;29.5;434128;4.04148796;892000;
Ireland;IRL;86681.27013;29.2;68890;2.947962774;10951000;9350000
Isle of Man;IMN;;;570;;;
Israel;ISR;40810.0545;38.6;21640;7.182076986;4905000;9179000
Italy;ITA;42739.04991;35.2;295717;8.159989628;95399000;62207000
Jamaica;JAM;10244.36619;;10830;43.94593841;4233000;
Japan;JPN;41697.41194;32.9;364500;5.439668068;31881000;20081000
Jordan;JOR;9551.165384;33.7;88794;41.83637029;5361000;1537000
Kazakhstan;KAZ;26351.80444;27.8;2699700;4.432713565;8515000;10707000
Kenya;KEN;4601.211373;40.8;569140;15.36014645;2049000;
Kiribati;KIR;1990.517968;27.8;810;17.55966551;12000;
Korea, Dem. People's Rep.;PRK;;;120410;;;
Korea, Rep.;KOR;42758.59037;31.4;97600;3.854010284;17503000;28714000
Kosovo;XKX;11318.46225;29;;;;
Kuwait;KWT;47314.79686;;17820;1.644848188;8565000;1236000
Kyrgyz Republic;KGZ;5258.366696;29;191800;22.7821221;8508000;5314000
Lao PDR;LAO;7840.071383;38.8;230800;13.94380002;4791000;2690000
Latvia;LVA;31038.67927;35.7;62227;7.341635827;8342000;2384000
Lebanon;LBN;17172.19765;31.8;10230;47.87348218;1936000;
Lesotho;LSO;2533.119058;44.9;30360;;1142000;
Liberia;LBR;1455.637649;35.3;96320;;;
Libya;LBY;22535.44562;;1759540;0.687960688;963000;
Liechtenstein;LIE;;;160;;98099.99847;
Lithuania;LTU;37184.4536;36;62620;9.683463347;6150000;4881000
Luxembourg;LUX;114542.4969;33.4;2574.46;4.044890291;1041000;2548000
Macao SAR, China;MAC;122822.1245;;32.9;90.36223241;39406000;1765000
Madagascar;MDG;1585.471651;42.6;581800;23.29981718;486000;
Malawi;MWI;1517.703169;38.5;94280;4.285671282;871000;
Malaysia;MYS;27674.40162;41.2;328550;9.313598926;26101000;30532000
Maldives;MDV;20574.40443;29.3;300;84.73792624;1703000;42000
Mali;MLI;2219.046743;36.1;1220190;5.5180896;217000;
Malta;MLT;45425.80693;31.4;320;20.43348525;3519000;774000
Marshall Islands;MHL;5647.066917;35.5;180;15.59304199;6099.999905;
Mauritania;MRT;5505.646331;32.6;1030700;0.542632176;30000;
Mauritius;MUS;23681.58045;36.8;2030;38.49239585;1418000;320000
Mexico;MEX;20064.5005;45.4;1943950;5.246452379;97406000;82752000
Micronesia, Fed. Sts.;FSM;3540.78241;40.1;700;;18000;
Moldova;MDA;13030.18304;25.7;32885.9;14.39108244;174000;311000
Monaco;MCO;;;2.027;;363000;
Mongolia;MNG;12458.01843;32.7;1557258;7.18904943;637000;
Montenegro;MNE;21533.96377;36.8;13450;52.63670918;2510000;
Morocco;MAR;8217.598633;39.5;446300;;;
Morocco;ESH;8217.598633;39.5;446300;22.58673323;13109000;2009000
Mozambique;MOZ;1285.184822;54;786380;5.785755954;2033000;
Myanmar;MMR;4829.536707;30.7;652700;14.27235894;4364000;
Namibia;NAM;10009.57807;59.1;823290;9.844574838;1651000;
Nauru;NRU;12000.61152;32.4;20;5.144511542;;
Nepal;NPL;3922.081331;32.8;143350;29.38127199;1197000;1197000
Netherlands;NLD;56784.03725;26;33670;3.15802843;20129000;22045000
Netherlands;BES;56784.03725;26;33670;;;
New Caledonia;NCL;;;18280;13.22556049;130000;144000
New Zealand;NZL;43110.37124;;263310;18.83041921;3888000;3225000
New Zealand;COK;43110.37124;;263310;;;
New Zealand;NIU;43110.37124;;263310;;;
Nicaragua;NIC;5348.987315;46.2;120340;;1455000;949000
Niger;NER;1217.445986;37.3;1266700;9.375080561;192000;
Nigeria;NGA;5076.36829;35.1;910770;2.103630753;5265000;
North Macedonia;MKD;16773.08172;33.5;25220;5.140791077;758000;
Northern Mariana Islands;MNP;;;460;;487000;
Norway;NOR;64385.00599;27.7;365094;4.812682179;5879000;8890000
Oman;OMN;33814.11162;;309500;7.060010973;3506000;6633000
Pakistan;PAK;5157.546572;29.6;770880;3.234415221;966000;
Palau;PLW;17605.48026;;460;92.86032448;94000;
Panama;PAN;31543.60606;50.9;74180;24.63809871;2494000;1226000
Papua New Guinea;PNG;3947.86549;;452860;0.039916738;211000;52000
Paraguay;PRY;13609.72301;42.9;397300;3.081600861;4368000;1192000
Peru;PER;12735.16828;40.2;1280000;8.601569444;5275000;3275000
Philippines;PHL;8731.860869;40.7;298170;12.09086478;8261000;5703000
Poland;POL;33159.74903;28.8;306110;4.747774481;88515000;50600000
Portugal;PRT;34945.66151;34.7;91605.6;23.45542178;17283000;3100000
Puerto Rico;PRI;34792.65549;;8870;;4931000;792000
Qatar;QAT;90840.42907;;11490;16.99908073;2136500;
Romania;ROU;30000.97783;34.6;230080;4.202126458;12815000;23066000
Russian Federation;RUS;27254.57422;36;16376870;3.578054772;24419000;45330000
Rwanda;RWA;2191.401609;43.7;24670;28.20362484;1634000;
Samoa;WSM;6346.146335;38.7;2780;61.19693516;181000;69000
San Marino;SMR;60076.01134;;60;;1904000;
Sao Tome and Principe;STP;4013.721897;40.7;960;73.19355971;33400.00153;
Saudi Arabia;SAU;44954.99119;;2149690;6.94361064;20292000;27196000
Senegal;SEN;3430.483882;38.1;192530;10.53519996;1376000;
Serbia;SRB;18306.8119;35;87460;7.654856269;1847000;
Seychelles;SYC;29369.52873;32.1;460;29.64518066;428000;76000
Sierra Leone;SLE;1655.68517;35.7;72180;4.045863137;71000;122000
Singapore;SGP;98283.30891;;716;3.066715429;19116000;10711000
Sint Maarten (Dutch part);SXM;;;34;64.91044242;1952000;
Slovak Republic;SVK;31973.46163;23.2;48080;3.458646542;15299000;5214000
Slovenia;SVN;39034.23325;24;20136.4;7.366874242;4702000;6049000
Solomon Islands;SLB;2616.863043;37.1;27990;13.86792322;28899.99962;
Somalia;SOM;1138.285937;;627340;;;
South Africa;ZAF;13852.20597;63;1213090;8.551907807;14797000;
South Sudan;SSD;;44.1;631930;0.387776008;;
Spain;ESP;40760.30896;34.9;499570.036;;126170000;22816000
Sri Lanka;LKA;13639.02189;37.7;61864.47;24.01835009;2027000;1441000
St. Kitts and Nevis;KNA;31194.73719;;260;61.38528;1107000;
St. Lucia;LCA;15460.80076;51.2;610;88.77486525;1220000;
St. Martin (French part);MAF;;;50;;;
St. Vincent and the Grenadines;VCT;14189.96035;;390;77.86021141;392000;
Sudan;SDN;4133.130371;34.2;1868000;20.87792437;836000;
Suriname;SUR;18449.19921;;156000;2.798731789;279000;
Sweden;SWE;52850.56918;28.9;407283.59;4.299293655;7616000;19061000
Switzerland;CHE;70857.08908;33.1;39516.03;4.442379576;11818000;19797000
Syrian Arab Republic;SYR;;;183630;;2424000;3863000
Taiwan;TWN;50150.27971;33.7;35980;;;
Tajikistan;TJK;3575.279713;34;138790;14.40295948;1035000;31000
Tanzania;TZA;2577.665771;40.5;885800;27.17274071;1527000;
Thailand;THA;18003.67145;35.1;510890;19.87505626;39916000;10446000
Timor-Leste;TLS;3737.796428;28.7;14870;64.00151534;74800.00305;
Togo;TGO;2080.524243;42.4;54390;15.85455304;876000;269000
Tonga;TON;6344.311474;33.5;720;50.76375863;94000;
Trinidad and Tobago;TTO;25306.61796;;5130;5.028323815;480000;
Tunisia;TUN;11100.82029;32.8;155360;13.99231636;9429000;2781000
Turkiye;TUR;28150.05895;41.9;769630;16.90815339;51747000;9651000
Turkmenistan;TKM;14992.60396;;469930;;;78000
Turks and Caicos Islands;TCA;25933.51121;;950;;1599000;
Tuvalu;TUV;4816.55321;39.1;30;43.44254018;3599.999905;2900.000095
Uganda;UGA;2250.014922;42.7;200520;22.68391954;1543000;568000
Ukraine;UKR;12804.95508;25.6;579400;4.083013406;13710000;29346000
United Arab Emirates;ARE;71782.15384;26;71020;;25282000;18906000
United Kingdom;GBR;47362.26461;32.6;241930;;40857000;93086000
United Kingdom;GGY;47362.26461;32.6;241930;;;
United Kingdom;JEY;47362.26461;32.6;241930;;;
United Kingdom;MSR;47362.26461;32.6;241930;;;
United Kingdom;AIA;47362.26461;32.6;241930;;;
United States;USA;62478.25395;39.7;9147420;9.403796912;165478000;170930093.8
Uruguay;URY;23256.59787;40.8;175020;13.66557965;3480000;2199000
Uzbekistan;UZB;7348.146883;;440555;9.880284328;6749000;8437000
Vanuatu;VUT;3070.350828;32.3;12190;79.14988103;256000;36400.00153
Venezuela, RB;VEN;;;882050;1.903500209;429000;1079000
Vietnam;VNM;10252.00462;36.8;313429;4.21257291;18009000;
Virgin Islands (U.S.);VIR;;;350;;2074000;
West Bank and Gaza;PSE;6245.448697;33.7;6020;9.430331024;688000;
Yemen, Rep.;YEM;;36.7;527970;12.36056299;398000;
Zambia;ZMB;3372.35898;57.1;743390;;1266000;
Zimbabwe;ZWE;2203.39681;50.3;386850;5.41111481;2294000;3275000
