aircraft_osky;acft_icao;acft_class;seymour_proxy
480B;zzz;OTHER;zzz
PAY4;PAY4;TP;zzz
IL96;IL96;WB;IL96
B105;B105;HE;zzz
GY80;GY80;PP;zzz
HUSK;HUSK;PP;zzz
B47G;B47G;HE;zzz
TAMP;TAMP;PP;zzz
C337;C337;PP;zzz
PNR4;PNR4;PP;zzz
CH7A;CH7A;PP;zzz
DH82;DH82;PP;DH8A
C5M;C5M;OTHER;zzz
MT;MT;OTHER;zzz
GOLF;GOLF;PP;zzz
B525;B525;HE;zzz
Z42;Z42;PP;zzz
S10S;S10S;PP;zzz
LJ25;LJ25;PJ;zzz
SB20;SB20;TP;SB20
GA5C;GA5C;PJ;zzz
CDUS;CDUS;OTHER;zzz
DUOD;DUOD;PP;zzz
R90R;R90R;PP;zzz
D11;D11;PP;zzz
F50;F50;TP;F50
CN35;CN35;TP;zzz
BE80;BE80;PP;zzz
PA28A;P28A;PP;P28B
C135;C135;OTHER;B722
CNJ;zzz;OTHER;zzz
PC7;PC7;TP;zzz
BDOG;BDOG;PP;zzz
PA39;P39;PP;zzz
AEST;AEST;PP;zzz
IL76;IL76;OTHER;IL96
VENT;VENT;PP;zzz
M108;M108;PP;zzz
PUP;PUP;PP;zzz
EC25;EC25;HE;zzz
P32T;P32T;PP;zzz
DC93;DC93;NB;DC94
AY72;AT72;TP;AT72
DC3T;DC3T;TP;zzz
SUBA;SUBA;PP;zzz
Falcon 7X;FA7X;PJ;zzz
BL8;BL8;PP;zzz
Ha-420;zzz;OTHER;zzz
TL30;TL30;PP;zzz
B58T;B58T;PP;zzz
PNR2;PNR2;PP;zzz
A30B;A30B;WB;A30B
C46;C46;PP;zzz
AS26;AS26;PP;zzz
E295;zzz;OTHER;zzz
P2006T;P06T;PP;zzz
TWEN;TWEN;PP;zzz
FOX;FOX;PP;zzz
LGEZ;LGEZ;PP;zzz
LNC2;LNC2;PP;zzz
SH33;SH33;TP;zzz
YK42;YK42;RJ;YK42
FK14;FK14;PP;zzz
GLF2;GLF2;PJ;zzz
A345;A345;WB;A345
BLCF;BLCF;WB;B744
TVL4;TVL4;PP;zzz
P28S;P28S;PP;P28B
D140;D140;PP;zzz
JS31;JS31;TP;JS31
LEGD;LEGD;PP;zzz
TRIM;TRIM;PP;zzz
H47;H47;HE;zzz
AN12;AN12;TP;AN24
O1;O1;PP;zzz
GA7;GA7;PP;zzz
MCR1;MCR1;PP;zzz
RV4;RV4;PP;zzz
AS29;AS29;PP;zzz
S61;S61;HE;zzz
G120;G120;PP;zzz
F2DX;FA20;PJ;CRJ2
BD-700-1A11 Global 5000;GL7T;PJ;CRJ7
UF10;UF10;PP;zzz
C240;C240;PP;zzz
CL4T;CL60;PJ;C680
TRIN;zzz;OTHER;zzz
RF5;RF5;PP;F50
CP10;CP10;PP;zzz
PIAT;PIAT;PP;zzz
GLAS;GLAS;PP;zzz
A19N;A19N;NB;A20N
182P;C182;PP;C172
ARCP;ARCP;PP;zzz
AS31;AS31;PP;zzz
AS25;AS25;PP;zzz
BE50;BE50;PP;zzz
RV14;RV14;PP;zzz
0;zzz;OTHER;zzz
AJET;AJET;OTHER;zzz
B721;B721;NB;B712
DG80;DG80;PP;zzz
MI8;MI8;HE;zzz
TUCA;TUCA;TP;zzz
EN48;EN48;HE;zzz
SC01;SC01;PP;zzz
FA5X;FA5X;PJ;CRJ7
KFIR;KFIR;OTHER;zzz
PISI;PISI;PP;zzz
PA17;PA17;PP;PA31
GYRO;GYRO;OTHER;zzz
LNC4;LNC4;PP;zzz
Falcom 2000EX;F2TH;PJ;CRJ7
AT8T;AT8T;TP;zzz
SKAR;SKAR;PP;zzz
HR20;HR20;PP;zzz
L200;L200;PP;zzz
LEG2;LEG2;PP;zzz
D253;D253;PP;zzz
PA23;PA23;PP;PA31
BE60;BE60;PP;BE20
E400;E400;PP;BE40
SLG4;SLG4;PP;zzz
LJ24;LJ24;PJ;zzz
DISC;DISC;PP;zzz
ALO3;ALO3;HE;zzz
C82T;C82T;PP;zzz
P149;P149;PP;zzz
EUFI;EUFI;OTHER;zzz
PP3;PP3;PP;zzz
A158;A158;RJ;A158
C170;C170;PP;C172
G-V;GLF5;PJ;GLF5
GAZL;GAZL;HE;zzz
CVLP;CVLP;PP;CVLT
STRK;STRK;OTHER;zzz
C700;CRJ7;PJ;CRJ7
M6;M6;PP;zzz
SVNH;SVNH;PP;zzz
T154;T154;NB;T154
FAET;FAET;PP;zzz
G600;GLF6;PJ;GLF4
T182;C182;PP;C172
DHC1;DHC1;PP;zzz
KP2;KP2;PP;zzz
S58T;S58T;HE;zzz
MD87;MD87;NB;MD87
R135;R135;OTHER;B722
KL07;KL07;PP;zzz
MD60;MD60;HE;zzz
PINO;PINO;PP;zzz
B214;B214;HE;zzz
T33;T33;OTHER;zzz
TBM;TBM;PP;zzz
D250;D250;PP;zzz
JAB4;JAB4;PP;zzz
C175;C175;PP;C172
LA60;LA60;PP;zzz
LANC;LANC;PP;zzz
TWST;zzz;OTHER;zzz
C06T;C06T;TP;zzz
B29;B29;PP;zzz
RC-12X;zzz;OTHER;zzz
TFUN;TFUN;PP;zzz
P3;P3;TP;zzz
P47;P47;PP;zzz
S108;S108;PP;zzz
SAKO;SAKO;PP;zzz
TEXA;TEXA;PP;zzz
D150;D150;PP;zzz
PA11;PA11;PP;zzz
TLEG;TLEG;TP;zzz
SAVG;SAVG;PP;zzz
ARV1;ARV1;PP;zzz
DA50;DA50;PP;zzz
EGRT;EGRT;TP;zzz
M28;M28;TP;zzz
PL2;PL2;PP;zzz
A1;A1;PP;zzz
AC6L;AC6L;PP;zzz
ALSL;ALSL;PP;zzz
DG50;DG50;PP;zzz
JPRO;JPRO;OTHER;zzz
KMAX;KMAX;HE;zzz
NIMB;NIMB;PP;zzz
RF3;RF3;PP;zzz
A330-200;A332;WB;A332
BOLT;BOLT;PP;zzz
ERCO;ERCO;PP;zzz
A660;A660;TP;zzz
BE23;BE23;PP;BE20
ESCP;ESCP;PP;zzz
F8L;F8L;PP;zzz
A500;A500;PP;zzz
FK12;FK12;PP;zzz
UF13;UF13;PP;zzz
AC68;AC68;PP;zzz
B767;B763;WB;B763
TRAL;TRAL;PP;zzz
D28T;D28T;TP;D228
B209;B209;PP;BE20
BE24;BE24;PP;BE20
R200;R200;PP;zzz
TEST;zzz;OTHER;zzz
MU30;MU30;PJ;zzz
PA20;PA20;PP;zzz
R182;C182;PP;C172
VALI;VALI;PP;zzz
PA14;PA14;PP;zzz
PULS;PULS;PP;zzz
UH12;UH12;HE;zzz
JUNR;JUNR;PP;zzz
B222;B222;HE;zzz
SREY;SREY;OTHER;zzz
DC91;DC91;NB;DC94
KC39;E390;OTHER;E190
PTS2;PTS2;PP;zzz
S55P;S55P;HE;zzz
SASY;SASY;PP;zzz
XAIR;XAIR;PP;zzz
K35T;K35R;OTHER;zzz
AN32;AN32;TP;zzz
G115;G115;PP;zzz
PK20;PK20;PP;zzz
YK52;YK52;PP;YK42
A319-115(CJ);A319;PJ;A319
B74S;B74S;WB;B734
CORS;CORS;PP;zzz
EH10;EH10;HE;zzz
MC23;MC23;NB;zzz
330-243MRTT;A332;OTHER;A332
BX2;BX2;PP;zzz
GLST;GLST;PP;zzz
LNCE;LNCE;PP;zzz
SU26;SU26;PP;zzz
B26;B26;PP;zzz
S58P;S58P;HE;zzz
T34T;T34T;TP;zzz
BD-700-1A10 Global Express;GLEX;PJ;zzz
C182S;C182;PP;C172
C320;C320;PP;zzz
DO28;DO28;PP;D228
DR22;DR22;PP;zzz
V22;V22;TP;zzz
X;zzz;OTHER;zzz
ZEPH;ZEPH;PP;zzz
AR15;AR15;PP;zzz
B703;B703;NB;B722
FURY;FURY;PP;zzz
G21;G21;OTHER;zzz
R90F;R90F;PP;zzz
SPIT;SPIT;PP;zzz
V280;zzz;OTHER;zzz
FA01;FA01;PP;zzz
IL62;IL62;NB;IL96
PKAN;PKAN;PP;zzz
PPRO;PPRO;PP;zzz
SEAW;SEAW;OTHER;zzz
CH7B;CH7B;PP;zzz
P40;P40;PP;zzz
RFAL;RFAL;OTHER;zzz
VTRA;VTRA;PP;zzz
AW119;A119;HE;zzz
CMDE;CMDE;OTHER;zzz
PICO;PICO;PP;zzz
PRIM;zzz;OTHER;zzz
SCRO;SCRO;PP;zzz
BE17;BE17;PP;zzz
CP30;CP30;PP;zzz
H145;EC45;HE;zzz
SB91;SB91;PP;zzz
DA7X;zzz;OTHER;zzz
EVOT;EVOT;TP;zzz
TRF1;TRF1;PP;zzz
COL3;COL3;PP;zzz
L29;L29;OTHER;zzz
S3;S3;OTHER;zzz
BRB2;BRB2;HE;zzz
DH60;DH60;PP;DHC6
DHC4;DHC4;PP;zzz
DR30;DR30;PP;zzz
J300;J300;PP;zzz
PA12;PA12;PP;PA31
Z602;zzz;OTHER;zzz
B36T;B36T;TP;zzz
DH89;DH89;PP;DH8A
FANT;FANT;PP;zzz
MP02;MP02;PP;zzz
XL2;XL2;PP;zzz
Y18T;Y18T;PP;zzz
J3C;J3;OTHER;zzz
DV1;DV1;PP;zzz
MRJ9;MRJ9;RJ;CRJ9
STRM;STRM;PP;zzz
TB21;TB21;PP;zzz
AN74;AN72;TP;AN24
AS24;AS24;PP;zzz
C140;C140;PP;zzz
J5;J5;PP;zzz
MI24;MI24;HE;zzz
PTMS;PTMS;PP;zzz
SU29;SU29;PP;zzz
YK50;YK50;PP;zzz
A350;AS50;HE;zzz
AS28;AS28;PP;zzz
D31;D31;PP;zzz
KP5;KP5;PP;zzz
L37;L37;PP;zzz
LM1;LMK1;OTHER;zzz
MM22;MM22;OTHER;zzz
BKUT;BKUT;PP;zzz
BN2T;BN2T;TP;BN2P
CH30;CH30;PP;zzz
LAE1;LAE1;EL;zzz
P66P;P66P;PP;zzz
PETR;PETR;OTHER;zzz
AR11;AR11;PP;zzz
G159;G159;TP;zzz
HAWK;HAWK;OTHER;zzz
NAVI;NAVI;PP;zzz
S15;SU15;OTHER;zzz
VEZE;VEZE;PP;zzz
AV68;AV68;PP;zzz
DH87;DH87;PP;zzz
L40;L40;PP;zzz
P337;P337;PP;zzz
340;C340;OTHER;zzz
APM2;APM2;PP;zzz
BL17;BL17;PP;zzz
E8;zzz;OTHER;zzz
JAB2;JAB2;PP;zzz
JS41;JS41;TP;JS41
L29B;L29B;PJ;zzz
MH90;zzz;OTHER;zzz
SJ30;SJ30;PJ;zzz
BCAT;BCAT;PP;zzz
SBR2;SBR2;PJ;zzz
TB30;TB30;PP;zzz
XA42;XA42;PP;zzz
B230;B230;HE;zzz
L12;L12;PP;zzz
MD81;MD81;NB;MD81
RENE;RENE;PP;zzz
S6;S6;PP;zzz
SATA;SATA;PJ;zzz
WA40;WA40;PP;zzz
BACE;zzz;OTHER;zzz
C195;C195;PP;zzz
CAPL;CAPL;PP;zzz
FA62;FA62;PP;zzz
H24;H204;PP;zzz
B200;BE20;PP;BE20
D6CR;D6CR;PP;zzz
EDGE;EDGE;PP;zzz
GNAT;GNAT;OTHER;zzz
J1;J1;PP;zzz
VELO;VELO;PP;zzz
BER2;BER2;OTHER;zzz
F5;F5;OTHER;zzz
JK05;JK05;PP;zzz
LA25;LA25;OTHER;zzz
NG4;NG4;PP;zzz
P220;P220;PP;zzz
RF4;RF4;PP;zzz
WA50;WA50;PP;zzz
WB57;WB57;OTHER;zzz
402B;zzz;OTHER;zzz
A178;A178;OTHER;zzz
CH75;CH75;PP;zzz
DC87;DC87;NB;MD87
DHC7;DHC7;TP;DHC7
LK17;LK17;PP;zzz
M326;M326;OTHER;zzz
R100;R100;PP;zzz
A10;A10;OTHER;zzz
A609;zzz;HE;zzz
AS20;AS20;PP;zzz
B742;B742;WB;B462
C30J-30 Hercules;C130;OTHER;zzz
CA41;CA41;PP;zzz
IS28;IS28;PP;zzz
L18;L18;PP;zzz
P68T;P68T;TP;zzz
P82;P82;PP;zzz
SCII;SCII;OTHER;zzz
UAV;zzz;OTHER;zzz
735;B735;NB;B735
AAT4;AAT4;PP;zzz
B300;BE30;PP;zzz
E3CF;E3CF;OTHER;zzz
MA5;MA5;PP;zzz
NIPR;NIPR;PP;zzz
SV4;SV4;PP;zzz
Z43;Z43;PP;zzz
321;A321;NB;A321
A748;A748;TP;zzz
AAT3;AAT3;PP;zzz
COZY;COZY;PP;zzz
DAL4;DAL4;PP;zzz
EV55;EV55;PP;zzz
F260;F260;PP;zzz
H60 ;H60;HE;zzz
JANU;JANU;PP;zzz
L13S;L13S;PP;zzz
MG17;MG17;OTHER;zzz
MS76;MS76;PJ;zzz
RBEL;RBEL;PP;zzz
SD4;SD4;PP;zzz
SHRK;SHRK;PP;zzz
TCAT;TCAT;PP;zzz
UHEL;UHEL;OTHER;zzz
ACAM;ACAM;PP;zzz
AS16;AS16;PP;zzz
B14A;B14A;PP;zzz
BE65;BE65;PP;BE55
DHC8;DH8C;TP;DH8C
F156;F156;PP;zzz
FA24;FA24;PP;zzz
GA6C;GA6C;PJ;zzz
H64;H64;HE;zzz
KA26;KA26;HE;zzz
LNP4;LNP4;TP;zzz
M20E;zzz;OTHER;zzz
MOSQ;MOSQ;PP;zzz
P63;P63;PP;zzz
RELI;RELI;PP;zzz
S208;S208;PP;zzz
SA30;SA30;PP;zzz
STAR;STAR;TP;zzz
SW2;SW2;TP;SW4
YAK3;YAK3;PP;zzz
319;A319;NB;A319
ALO2;ALO2;HE;zzz
AS22;AS22;PP;zzz
ASSO;zzz;OTHER;zzz
B39M;B39M;NB;B39M
B461;B461;RJ;B461
BD4;BD4;PP;zzz
BEAR;BEAR;PP;zzz
C205;C205;PP;C208
CAT;CAT;OTHER;zzz
CH7;CH7;HE;zzz
CH80;CH80;PP;zzz
CL4G;CL4G;TP;zzz
CV64;CVLT;PJ;CVLT
E530;zzz;OTHER;zzz
F35;F35;OTHER;zzz
F86;F86;OTHER;zzz
FOUG;FOUG;PJ;zzz
HUCO;HUCO;HE;zzz
HURI;HURI;PP;zzz
L101;L101;WB;L410
L29A;L29A;PJ;zzz
Light;zzz;OTHER;zzz
P38;P38;PP;zzz
PUMA;PUMA;HE;zzz
QUAS;QUAS;PP;zzz
R300;R300;PP;zzz
RF10;RF10;PP;zzz
SBD;SBD;PP;zzz
SHIP;SHIP;OTHER;zzz
SYMP;SYMP;PP;zzz
T6A;T6;OTHER;zzz
TIGR;TIGR;HE;zzz
U16;U16;OTHER;zzz
U2;U2;OTHER;zzz
