,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
0,AF,Africa,AF,Africa,93709655.90576866,99373800830.1006,2684835841.9723697,8484081260.6326885,8.484081260632689,99.37380083010059,93.70965590576867,17.7578122,11.5024338,7.7578122,11.5024338
1,AF,Africa,AS,Asia,24131170.241121896,83759134208.86691,1999809041.3681552,6319396570.7233715,6.319396570723371,83.75913420886691,24.131170241121897,17.7578122,11.5024338,79.2343748,51.2086975
2,AF,Africa,EU,Europe,63364702.43188563,200263713841.62878,4555867931.579701,14396542663.791857,14.396542663791857,200.26371384162877,63.36470243188563,17.7578122,11.5024338,0.0,51.0
3,AF,Africa,NA,North America,1883998.2678185748,17430453804.955482,445139955.8902753,1406642260.61327,1.40664226061327,17.430453804955484,1.883998267818575,17.7578122,11.5024338,-119.0,51.0000002
4,AF,Africa,OC,Oceania,234813.93599999996,2201038925.384476,56802304.27593285,179495281.5119478,0.17949528151194782,2.2010389253844758,0.23481393599999995,17.7578122,11.5024338,163.7741688,-12.7725835
5,AF,Africa,SA,South America,559250.5069468577,4059008163.3939843,97918225.68378723,309421593.1607676,0.3094215931607676,4.059008163393984,0.5592505069468577,17.7578122,11.5024338,-71.00065649999999,-21.0002179
6,AS,Asia,AF,Africa,24131170.241121896,83759134208.86691,1999809041.3681552,6319396570.7233715,6.319396570723371,83.75913420886691,24.131170241121897,89.2343748,51.2086975,7.7578122,11.5024338
7,AS,Asia,AS,Asia,2012099795.1779869,2876875568992.0854,73260732321.12828,231503914134.76535,231.50391413476535,2876.8755689920854,2012.0997951779868,89.2343748,51.2086975,79.2343748,51.2086975
8,AS,Asia,EU,Europe,153873634.32371435,649037937829.4214,15636042825.032036,49409895327.101234,49.40989532710123,649.0379378294214,153.87363432371436,89.2343748,51.2086975,0.0,51.0
9,AS,Asia,NA,North America,29007118.886487458,314407220470.1493,8604277886.050928,27189518119.920933,27.189518119920933,314.4072204701493,29.007118886487458,89.2343748,51.2086975,-119.0,51.0000002
10,AS,Asia,OC,Oceania,24993158.925584443,176047561897.71198,4388447670.263003,13867494638.031092,13.867494638031092,176.047561897712,24.993158925584446,89.2343748,51.2086975,163.7741688,-12.7725835
11,AS,Asia,SA,South America,626067.0263043811,7747617788.566826,209333857.0882485,661494988.3988653,0.6614949883988653,7.747617788566826,0.626067026304381,89.2343748,51.2086975,-71.00065649999999,-21.0002179
12,EU,Europe,AF,Africa,63364702.43188563,200263713841.62878,4555867931.579701,14396542663.791857,14.396542663791857,200.26371384162877,63.36470243188563,10.0,51.0,7.7578122,11.5024338
13,EU,Europe,AS,Asia,153873634.32371435,649037937829.4214,15636042825.032036,49409895327.101234,49.40989532710123,649.0379378294214,153.87363432371436,10.0,51.0,79.2343748,51.2086975
14,EU,Europe,EU,Europe,1023187863.6901423,1107244282780.349,27540384574.13265,87027615254.25917,87.02761525425917,1107.244282780349,1023.1878636901423,10.0,51.0,0.0,51.0
15,EU,Europe,NA,North America,66493798.123750366,469060656034.5427,11884895912.733702,37556271084.238495,37.556271084238496,469.0606560345428,66.49379812375037,10.0,51.0,-119.0,51.0000002
16,EU,Europe,OC,Oceania,441477.8381463178,7268406410.151123,210708761.4761895,665839686.264759,0.6658396862647589,7.268406410151123,0.4414778381463178,10.0,51.0,163.7741688,-12.7725835
17,EU,Europe,SA,South America,9739565.400243994,89249801873.9071,2268152701.8123593,7167362537.727056,7.167362537727056,89.2498018739071,9.739565400243993,10.0,51.0,-71.00065649999999,-21.0002179
18,NA,North America,AF,Africa,1883998.2678185748,17430453804.955482,445139955.89027536,1406642260.61327,1.40664226061327,17.430453804955484,1.883998267818575,-109.0,51.0000002,7.7578122,11.5024338
19,NA,North America,AS,Asia,29007118.886487458,314407220470.1493,8604277886.050928,27189518119.920933,27.189518119920933,314.4072204701493,29.007118886487458,-109.0,51.0000002,79.2343748,51.2086975
20,NA,North America,EU,Europe,66493798.123750366,469060656034.5427,11884895912.733702,37556271084.238495,37.556271084238496,469.0606560345428,66.49379812375037,-109.0,51.0000002,0.0,51.0
21,NA,North America,NA,North America,1258925739.3240118,1811721383187.4707,45986478203.31131,145317271122.46375,145.31727112246375,1811.7213831874706,1258.9257393240118,-109.0,51.0000002,-119.0,51.0000002
22,NA,North America,OC,Oceania,14288922.624094516,89744576133.97408,2184452307.3627114,6902869291.266169,6.902869291266168,89.74457613397406,14.288922624094516,-109.0,51.0000002,163.7741688,-12.7725835
23,NA,North America,SA,South America,19022258.176377416,78645171430.85344,1913017159.8592002,6045134225.155073,6.045134225155073,78.64517143085344,19.022258176377413,-109.0,51.0000002,-71.00065649999999,-21.0002179
24,OC,Oceania,AF,Africa,234813.93599999996,2201038925.3844757,56802304.275932856,179495281.5119478,0.17949528151194782,2.2010389253844758,0.23481393599999995,173.7741688,-12.7725835,7.7578122,11.5024338
25,OC,Oceania,AS,Asia,24993158.925584443,176047561897.71198,4388447670.263003,13867494638.031092,13.867494638031092,176.047561897712,24.993158925584446,173.7741688,-12.7725835,79.2343748,51.2086975
26,OC,Oceania,EU,Europe,441477.8381463178,7268406410.151124,210708761.4761895,665839686.264759,0.6658396862647589,7.268406410151123,0.4414778381463178,173.7741688,-12.7725835,0.0,51.0
27,OC,Oceania,NA,North America,14288922.624094516,89744576133.97408,2184452307.3627114,6902869291.266169,6.902869291266168,89.74457613397406,14.288922624094516,173.7741688,-12.7725835,-119.0,51.0000002
28,OC,Oceania,OC,Oceania,128069866.37820727,148245157620.05045,3918830467.551455,12383504277.462597,12.383504277462597,148.24515762005043,128.06986637820728,173.7741688,-12.7725835,163.7741688,-12.7725835
29,OC,Oceania,SA,South America,320789.3219999998,3414570645.0500765,90330959.6352338,285445832.4473388,0.28544583244733884,3.414570645050077,0.32078932199999977,173.7741688,-12.7725835,-71.00065649999999,-21.0002179
30,SA,South America,AF,Africa,559250.5069468577,4059008163.3939843,97918225.68378721,309421593.1607676,0.3094215931607676,4.059008163393984,0.5592505069468577,-61.0006565,-21.0002179,7.7578122,11.5024338
31,SA,South America,AS,Asia,626067.026304381,7747617788.566826,209333857.0882485,661494988.3988652,0.6614949883988653,7.747617788566826,0.626067026304381,-61.0006565,-21.0002179,79.2343748,51.2086975
32,SA,South America,EU,Europe,9739565.400243994,89249801873.9071,2268152701.8123593,7167362537.727056,7.167362537727056,89.2498018739071,9.739565400243993,-61.0006565,-21.0002179,0.0,51.0
33,SA,South America,NA,North America,19022258.176377416,78645171430.85344,1913017159.8592002,6045134225.155073,6.045134225155073,78.64517143085344,19.022258176377413,-61.0006565,-21.0002179,-119.0,51.0000002
34,SA,South America,OC,Oceania,320789.3219999998,3414570645.050077,90330959.6352338,285445832.4473388,0.28544583244733884,3.414570645050077,0.3207893219999998,-61.0006565,-21.0002179,163.7741688,-12.7725835
35,SA,South America,SA,South America,235647431.18590537,236285453430.03973,6556288309.09409,20717871056.737328,20.717871056737327,236.28545343003972,235.64743118590536,-61.0006565,-21.0002179,-71.00065649999999,-21.0002179
